,length,discount,user_id,successful,mean_price,min_rating,max_rating,mean_rating,successful_sessions_so_far,sessions_so_far,cat_Akcesoria_telefoniczne,cat_Anteny_RTV,cat_Audio,cat_Biurowe_urządzenia_wielofunkcyjne,cat_Drukarki_i_skanery,cat_Gry_PlayStation3,cat_Gry_Xbox_360,cat_Gry_i_konsole,cat_Gry_komputerowe,cat_Gry_na_konsole,cat_Komputery,cat_Monitory,cat_Monitory_LCD,cat_Odtwarzacze_DVD,cat_Odtwarzacze_mp3_i_mp4,cat_Okulary_3D,cat_Przenośne_audio_i_video,cat_Sprzęt_RTV,cat_Słuchawki,cat_Tablety,cat_Tablety_i_akcesoria,cat_Telefony_i_akcesoria,cat_Telefony_komórkowe,cat_Telefony_stacjonarne,cat_Telewizory_i_akcesoria,cat_Video,cat_Zestawy_głośnomówiące,cat_Zestawy_słuchawkowe,city,gender
0,0 days 00:27:42,20,102,True,868.8,0.1,4.8,2.64,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
1,0 days 00:27:50,0,102,False,935.45,0.1,4.8,2.61,0,1,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
2,0 days 00:20:07,15,102,True,894.33,1.4,4.8,2.92,0,2,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
3,0 days 00:27:35,0,102,False,935.45,0.1,4.8,2.61,1,3,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
4,0 days 00:21:26,0,102,False,713.0,0.1,2.9,2.01,1,4,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
5,0 days 00:03:08,0,102,False,71.85,3.8,4.4,4.1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,Police,True
6,0 days 00:04:58,0,102,True,69.5,3.8,4.4,4.2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,Police,True
7,0 days 00:01:26,0,102,False,71.85,3.8,4.4,4.1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,Police,True
8,0 days 00:01:19,10,102,False,71.85,3.8,4.4,4.1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,Police,True
9,0 days 00:02:50,0,102,False,71.85,3.8,4.4,4.1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,Police,True
