length,discount,successful,mean_price,median_of_price,min_rating,max_rating,mean_rating,percentage_of_successful,gender
1662,20,1,868.8,689.0,0.1,4.8,2.64,0.0,1
1670,0,0,935.45,739.0,0.1,4.8,2.61,0.0,1
1207,15,1,894.33,739.0,1.4,4.8,2.92,0.0,1
1655,0,0,935.45,739.0,0.1,4.8,2.61,0.33,1
1286,0,0,713.0,739.0,0.1,2.9,2.01,0.25,1
188,0,0,71.85,71.85,3.8,4.4,4.1,0.2,1
298,0,1,69.5,64.8,3.8,4.4,4.2,0.17,1
86,0,0,71.85,71.85,3.8,4.4,4.1,0.29,1
79,10,0,71.85,71.85,3.8,4.4,4.1,0.25,1
170,0,0,71.85,71.85,3.8,4.4,4.1,0.22,1
235,0,0,71.85,71.85,3.8,4.4,4.1,0.2,1
1089,0,0,82.5,79.9,0.8,4.8,2.45,0.18,1
469,0,0,91.48,84.9,0.5,4.8,2.43,0.17,1
871,15,0,87.98,79.9,0.5,4.8,2.6,0.15,1
774,0,0,97.54,89.9,0.5,4.3,1.96,0.14,1
815,15,0,93.36,89.9,0.5,4.8,3.2,0.13,1
1279,0,1,117.63,129.0,1.3,4.8,3.03,0.12,1
1430,5,0,117.63,129.0,1.3,4.8,3.03,0.18,1
1618,0,0,111.21,124.0,1.3,4.8,3.0,0.17,1
104,0,0,1203.62,1203.62,2.6,4.1,3.35,0.16,1
193,0,0,1203.62,1203.62,2.6,4.1,3.35,0.15,1
57,0,0,1203.62,1203.62,2.6,4.1,3.35,0.14,1
0,0,0,207.33,207.33,2.6,2.6,2.6,0.14,1
914,0,1,249.09,245.0,0.9,3.8,2.06,0.13,1
570,0,0,250.12,272.0,0.9,3.8,2.35,0.17,1
596,10,0,250.12,272.0,0.9,3.8,2.35,0.16,1
142,0,0,233.82,245.0,0.9,3.8,2.07,0.15,1
1446,15,0,44.01,32.99,0.8,5.0,3.0,0.15,1
1593,20,0,39.89,32.99,0.8,5.0,2.86,0.14,1
1049,0,0,39.89,32.99,0.8,5.0,2.86,0.14,1
1251,20,0,46.17,32.99,0.8,5.0,3.27,0.13,1
1556,0,1,37.68,32.99,0.8,5.0,2.63,0.13,1
1299,0,1,41.6,32.99,0.8,5.0,2.78,0.16,1
1344,0,0,45.38,37.94,0.8,4.1,2.75,0.18,1
1337,15,0,47.58,42.9,0.8,4.1,2.86,0.18,1
1533,5,0,39.64,32.99,0.8,5.0,2.89,0.17,1
0,0,0,99.99,99.99,4.8,4.8,4.8,0.17,1
76,5,1,99.99,99.99,4.8,4.8,4.8,0.16,1
0,15,0,99.99,99.99,4.8,4.8,4.8,0.18,1
0,10,0,99.99,99.99,4.8,4.8,4.8,0.18,1
0,15,0,553.0,553.0,3.0,3.0,3.0,0.17,1
0,0,0,553.0,553.0,3.0,3.0,3.0,0.17,1
100,15,1,553.0,553.0,3.0,3.0,3.0,0.17,1
0,20,0,553.0,553.0,3.0,3.0,3.0,0.19,1
574,0,1,83.49,34.99,0.4,4.0,2.33,0.18,1
608,20,0,106.33,54.99,0.4,4.0,1.77,0.2,1
0,20,0,54.99,54.99,0.9,0.9,0.9,0.2,1
0,0,0,58.97,58.97,3.9,3.9,3.9,0.19,1
1350,0,1,90.88,89.99,0.5,4.9,3.29,0.19,1
1049,0,1,85.88,79.5,0.5,4.9,2.84,0.2,1
99,5,1,165.0,193.0,2.9,4.3,3.83,0.22,1
339,0,1,165.0,193.0,2.9,4.3,3.83,0.24,1
0,0,0,1816.97,1816.97,0.4,0.4,0.4,0.25,1
1040,0,0,4193.57,4451.5,1.2,4.8,2.58,0.25,1
1453,0,0,960.0,719.0,0.1,4.8,2.76,0.0,0
124,0,1,64.8,64.8,4.4,4.4,4.4,0.0,0
1079,10,0,101.95,99.45,0.5,4.3,1.8,0.0,0
1013,10,0,91.48,84.9,0.5,4.8,2.43,0.0,0
1256,0,0,91.48,84.9,0.5,4.8,2.43,0.0,0
1504,0,1,108.1,124.0,2.2,4.8,3.5,0.0,0
1247,10,0,118.46,124.0,1.3,4.8,3.15,0.17,0
273,0,0,250.12,272.0,0.9,3.8,2.35,0.14,0
895,0,1,229.5,245.0,0.9,3.8,2.2,0.12,0
210,10,1,236.62,245.0,0.9,3.8,1.78,0.22,0
1417,0,0,44.01,32.99,0.8,5.0,3.0,0.3,0
1267,0,0,44.01,32.99,0.8,5.0,3.0,0.27,0
2000,10,0,39.64,32.99,0.8,5.0,2.89,0.25,0
1742,0,1,42.89,32.99,0.8,5.0,2.87,0.23,0
0,0,0,99.99,99.99,4.8,4.8,4.8,0.29,0
0,0,0,99.99,99.99,4.8,4.8,4.8,0.27,0
24,0,1,553.0,553.0,3.0,3.0,3.0,0.25,0
518,20,0,106.33,54.99,0.4,4.0,1.77,0.29,0
701,20,1,83.49,34.99,0.4,4.0,2.33,0.28,0
554,5,0,106.33,54.99,0.4,4.0,1.77,0.32,0
0,10,0,58.97,58.97,3.9,3.9,3.9,0.3,0
0,0,0,58.97,58.97,3.9,3.9,3.9,0.29,0
0,20,0,58.97,58.97,3.9,3.9,3.9,0.27,0
0,10,0,58.97,58.97,3.9,3.9,3.9,0.26,0
1416,0,1,84.35,69.0,0.5,4.9,3.03,0.25,0
1683,0,1,84.35,69.0,0.5,4.9,3.03,0.28,0
291,0,0,151.0,151.0,2.9,4.3,3.6,0.31,0
0,0,0,1816.97,1816.97,0.4,0.4,0.4,0.3,0
916,0,0,4296.19,4862.0,1.2,4.8,2.58,0.29,0
1136,15,0,4238.5,4598.0,1.2,4.8,2.42,0.28,0
826,0,0,4238.5,4598.0,1.2,4.8,2.42,0.27,0
1181,20,0,3813.44,4187.5,1.2,4.8,2.42,0.26,0
1226,0,1,4876.05,5192.5,1.2,4.8,2.06,0.25,0
1761,0,0,960.0,719.0,0.1,4.8,2.76,0.0,0
1477,20,0,960.0,719.0,0.1,4.8,2.76,0.0,0
1692,0,0,935.45,739.0,0.1,4.8,2.61,0.0,0
1572,0,0,912.75,689.0,0.1,4.8,2.6,0.0,0
1876,15,1,942.5,689.0,0.1,4.8,2.72,0.0,0
1513,0,1,868.8,689.0,0.1,4.8,2.64,0.0,0
172,0,1,69.5,64.8,3.8,4.4,4.2,0.17,0
12,0,0,71.85,71.85,3.8,4.4,4.1,0.29,0
462,0,1,69.5,64.8,3.8,4.4,4.2,0.25,0
54,5,0,71.85,71.85,3.8,4.4,4.1,0.33,0
270,0,1,64.8,64.8,4.4,4.4,4.4,0.3,0
721,15,0,91.8,79.9,0.5,4.8,2.06,0.36,0
751,0,0,91.48,84.9,0.5,4.8,2.43,0.33,0
559,0,0,91.48,84.9,0.5,4.8,2.43,0.31,0
897,0,0,91.48,84.9,0.5,4.8,2.43,0.29,0
1049,5,0,97.54,89.9,0.5,4.3,1.96,0.27,0
494,10,0,91.48,84.9,0.5,4.8,2.43,0.25,0
989,0,0,91.48,84.9,0.5,4.8,2.43,0.24,0
985,0,0,91.48,84.9,0.5,4.8,2.43,0.22,0
256,0,0,94.77,94.45,0.5,4.8,2.38,0.21,0
1105,15,0,117.63,129.0,1.3,4.8,3.03,0.2,0
1090,0,0,116.21,124.0,1.3,4.8,2.99,0.19,0
1381,0,0,117.63,129.0,1.3,4.8,3.03,0.18,0
1385,15,1,110.37,124.0,1.3,4.8,3.21,0.17,0
1682,0,0,117.63,129.0,1.3,4.8,3.03,0.21,0
1229,20,0,117.63,129.0,1.3,4.8,3.03,0.2,0
1204,0,0,117.63,129.0,1.3,4.8,3.03,0.19,0
2063,0,1,110.37,124.0,1.3,4.8,3.21,0.19,0
1401,0,0,117.63,129.0,1.3,4.8,3.03,0.21,0
0,0,0,2199.9,2199.9,4.1,4.1,4.1,0.21,0
53,0,0,1203.62,1203.62,2.6,4.1,3.35,0.2,0
78,0,1,207.33,207.33,2.6,2.6,2.6,0.19,0
865,0,1,249.09,245.0,0.9,3.8,2.06,0.22,0
1460,0,1,41.6,32.99,0.8,5.0,2.78,0.24,0
1474,0,0,45.38,37.94,0.8,4.1,2.75,0.26,0
1535,5,0,44.01,32.99,0.8,5.0,3.0,0.26,0
1625,15,0,44.01,32.99,0.8,5.0,3.0,0.25,0
1587,10,1,47.27,37.94,0.8,5.0,2.97,0.24,0
1530,0,0,44.01,32.99,0.8,5.0,3.0,0.26,0
1477,20,0,47.27,37.94,0.8,5.0,2.97,0.26,0
1287,5,0,39.64,32.99,0.8,5.0,2.89,0.25,0
1630,0,1,39.17,32.99,0.8,5.0,2.76,0.24,0
1397,0,0,36.52,32.99,0.8,5.0,2.84,0.26,0
0,0,0,99.99,99.99,4.8,4.8,4.8,0.26,0
0,0,0,99.99,99.99,4.8,4.8,4.8,0.25,0
0,15,0,99.99,99.99,4.8,4.8,4.8,0.24,0
0,0,0,99.99,99.99,4.8,4.8,4.8,0.24,0
0,0,0,99.99,99.99,4.8,4.8,4.8,0.23,0
0,10,0,553.0,553.0,3.0,3.0,3.0,0.23,0
0,0,0,553.0,553.0,3.0,3.0,3.0,0.22,0
0,10,0,553.0,553.0,3.0,3.0,3.0,0.22,0
0,0,0,553.0,553.0,3.0,3.0,3.0,0.22,0
0,10,0,553.0,553.0,3.0,3.0,3.0,0.21,0
0,0,0,553.0,553.0,3.0,3.0,3.0,0.21,0
0,10,0,553.0,553.0,3.0,3.0,3.0,0.2,0
164,0,0,152.0,152.0,0.4,0.9,0.65,0.2,0
314,0,0,106.33,54.99,0.4,4.0,1.77,0.2,0
812,10,1,83.49,34.99,0.4,4.0,2.33,0.19,0
586,0,0,106.33,54.99,0.4,4.0,1.77,0.21,0
356,0,1,83.49,34.99,0.4,4.0,2.33,0.2,0
468,20,0,34.99,34.99,0.9,4.0,2.45,0.22,0
530,20,0,106.33,54.99,0.4,4.0,1.77,0.21,0
363,15,0,106.33,54.99,0.4,4.0,1.77,0.21,0
0,0,0,249.0,249.0,0.4,0.4,0.4,0.21,0
0,15,0,58.97,58.97,3.9,3.9,3.9,0.2,0
0,0,0,58.97,58.97,3.9,3.9,3.9,0.2,0
0,10,0,58.97,58.97,3.9,3.9,3.9,0.2,0
17,0,1,58.97,58.97,3.9,3.9,3.9,0.19,0
1097,0,0,78.65,69.0,1.8,4.9,3.32,0.21,0
1280,0,1,84.35,69.0,0.5,4.9,3.03,0.2,0
1445,10,0,79.78,69.0,0.5,4.9,3.04,0.21,0
